epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.77967,2.87754,4.81896,0.72951,3.05898,3.06098,0.84125,0.25,0.495,0.09475,0.0625,0.25,0.04083,0.00408,2.22674,4.79448,0.7215,2.91391,3.47393,0,0,0
2,5.5371,2.86846,5.82541,0.73816,3.60542,2.80721,0.84236,0.25,0.495,0.09067,0.0625,0.25,0.04083,0.00408,2.1765,4.79534,0.72172,2.8658,3.40014,1.9802e-05,1.9802e-05,1.9802e-05
3,8.26034,2.92847,5.87658,0.72256,3.35312,3.1293,0.78277,0.25,0.62758,0.2283,0,0,0,0,2.06612,4.78919,0.7219,2.79275,3.2314,3.9208e-05,3.9208e-05,3.9208e-05
4,11.8145,2.54123,5.64033,0.72748,2.53292,2.50461,1,0.3914,0.82536,0.31637,0,0,0,0,2.00829,4.74751,0.72198,2.64776,3.00467,5.8218e-05,5.8218e-05,5.8218e-05
5,15.5394,2.38219,6.27063,0.72336,2.35238,2.45542,1,0.49664,0.945,0.38066,0,0,0,0,2.04634,4.79187,0.72263,2.63138,2.82577,7.6832e-05,7.6832e-05,7.6832e-05
6,19.1279,1.98811,6.14845,0.72801,1.84007,2.03497,0.07407,1,0.845,0.30243,0,0,0,0,2.13754,4.86775,0.72262,2.5835,2.78519,9.505e-05,9.505e-05,9.505e-05
7,22.6456,1.60478,6.05627,0.72063,1.5039,1.65817,0.2996,1,0.44942,0.17097,0.01905,0.5,0.05222,0.00522,2.1952,5.0321,0.72349,2.43055,2.75732,0.000112872,0.000112872,0.000112872
8,26.2336,1.76621,5.87911,0.70378,1.83021,1.80958,0.20905,0.25,0.34929,0.09443,0.03262,0.25,0.04083,0.00408,2.24618,5.05557,0.72127,2.2525,2.56955,0.000130298,0.000130298,0.000130298
9,29.8839,1.68116,5.28696,0.73924,1.95999,1.84847,0.445,0.25,0.4325,0.08609,0.06155,0.25,0.035,0.0035,2.09534,4.89069,0.7188,2.23138,2.35619,0.000147328,0.000147328,0.000147328
10,33.4187,0.95783,6.03955,0.71456,1.15767,1.33763,0.44849,0.25,0.38136,0.08561,0.08005,0.25,0.03062,0.00306,2.01842,4.97842,0.71732,2.34773,2.32943,0.000163962,0.000163962,0.000163962
11,37.0974,1.30945,5.45524,0.70579,1.42309,1.58922,0.38803,0.25,0.36397,0.11466,0.06695,0.25,0.02042,0.00204,2.0309,4.86541,0.71698,2.37925,2.31779,0.0001802,0.0001802,0.0001802
12,40.8094,1.23033,5.14445,0.71152,1.74008,1.558,0.23199,0.75,0.38205,0.12973,0.07486,0.25,0.0245,0.00245,2.03764,4.93361,0.72016,2.09974,2.51399,0.000196042,0.000196042,0.000196042
13,44.4705,1.13905,5.77229,0.70743,1.4298,1.54468,0.35642,1,0.51773,0.20277,0,0,0,0,2.05288,4.97192,0.72093,1.89185,2.61829,0.000211488,0.000211488,0.000211488
14,48.8222,0.98014,4.22539,0.70347,1.20404,1.32422,0.38867,1,0.545,0.26088,0.09818,0.25,0.03062,0.00306,1.87176,4.95142,0.71968,1.54694,2.68857,0.000226538,0.000226538,0.000226538
15,53.1195,1.17613,5.2527,0.71268,1.29846,1.45858,0.79323,0.96617,0.895,0.40969,0.22184,0.25,0.06125,0.00613,1.7949,4.96368,0.71937,1.50877,2.61357,0.000241192,0.000241192,0.000241192
16,57.6212,0.86338,4.46971,0.71048,0.86693,1.32977,0.6595,1,0.82833,0.37801,0.18648,0.25,0.049,0.0049,1.87328,4.8802,0.71823,1.37056,2.74379,0.00025545,0.00025545,0.00025545
17,61.9728,0.79511,4.44928,0.71151,1.06013,1.3027,0.7725,1,0.895,0.3628,0.17561,0.25,0.049,0.0049,2.04311,4.92107,0.71654,1.36983,2.7865,0.000269312,0.000269312,0.000269312
