epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4581,3.55335,5.69319,0.71168,5.93442,3.65037,0.99909,0.5,0.495,0.1115,0.44984,0.125,0.08432,0.02936,2.92173,4.41381,0.69527,1.70128,4.26935,6e-05,6e-05,6e-05
2,28.9776,2.53651,4.81413,0.69179,2.21493,3.08656,0.83301,0.6238,0.60333,0.17293,0.495,0.25,0.18291,0.04909,2.64177,4.42658,0.69156,1.4776,4.7277,0.000139954,0.000139954,0.000139954
3,45.498,2.33465,4.53672,0.6709,1.70666,2.89476,0.82678,0.625,0.60333,0.19483,0.54233,0.25,0.20734,0.06661,2.61259,4.49201,0.68911,1.64593,4.49424,0.000219855,0.000219855,0.000219855
4,62.1373,2.02319,3.79709,0.681,1.75466,2.61789,0.97562,0.625,0.66289,0.19718,0.77723,0.5,0.52041,0.08428,2.71624,4.08725,0.68648,2.90041,5.18593,0.000299703,0.000299703,0.000299703
5,78.9916,1.59554,3.30137,0.6968,1.3339,2.41028,0.95789,0.625,0.625,0.13934,0.70523,0.625,0.63381,0.13739,2.89558,3.8035,0.68815,6.8219,5.40597,0.000379498,0.000379498,0.000379498
6,95.801,1.68585,3.18115,0.68875,1.35743,2.50544,0.8938,0.625,0.65486,0.18553,0.67284,0.625,0.61926,0.14449,2.70573,3.75281,0.66078,6.96361,5.28806,0.000459241,0.000459241,0.000459241
7,112.337,1.49156,3.02995,0.63511,1.13836,2.31355,0.8938,0.625,0.65486,0.18553,0.67284,0.625,0.61926,0.14449,2.70573,3.75281,0.66078,6.96361,5.28806,0.000538931,0.000538931,0.000538931
8,128.74,1.56606,3.14717,0.62328,1.16357,2.3354,0.80448,0.625,0.673,0.30064,0.64358,0.5,0.61949,0.14164,2.12396,3.58974,0.627,2.83752,4.12201,0.000618568,0.000618568,0.000618568
9,144.686,1.604,2.57855,0.62811,1.28694,2.41028,0.84823,0.625,0.72786,0.16458,0.63143,0.625,0.69941,0.26818,2.72513,3.14359,0.63732,4.57864,5.9711,0.000698152,0.000698152,0.000698152
10,160.552,1.66349,2.79258,0.64106,1.05811,2.32841,0.84823,0.625,0.72786,0.16458,0.63143,0.625,0.69941,0.26818,2.72513,3.14359,0.63732,4.57864,5.9711,0.000777683,0.000777683,0.000777683
11,176.654,1.5295,2.6452,0.62377,1.09191,2.22712,0.97386,0.625,0.70359,0.30366,0.91785,0.5,0.59541,0.22425,1.97162,3.42184,0.63947,1.77612,3.80825,0.000857162,0.000857162,0.000857162
12,192.775,1.96351,2.38581,0.61923,1.34358,2.6277,0.97386,0.625,0.70359,0.30366,0.91785,0.5,0.59541,0.22425,1.97162,3.42184,0.63947,1.77612,3.80825,0.000936588,0.000936588,0.000936588
13,208.359,1.51956,2.72545,0.6038,0.90575,2.23518,0.85185,0.72222,0.72786,0.21096,0.85185,0.72222,0.77336,0.29884,2.50355,3.24118,0.64209,3.71635,5.19907,0.00101596,0.00101596,0.00101596
14,223.818,1.40246,2.3455,0.6026,0.89925,2.37151,0.85185,0.72222,0.72786,0.21096,0.85185,0.72222,0.77336,0.29884,2.50355,3.24118,0.64209,3.71635,5.19907,0.00109528,0.00109528,0.00109528
15,239.86,1.35622,2.3411,0.60223,0.95115,2.14936,0.55986,0.5,0.50924,0.18193,0.42041,0.375,0.39597,0.09876,2.35332,4.1126,0.65106,4.73881,4.50755,0.00117455,0.00117455,0.00117455
16,257.413,1.84506,3.17138,0.57973,1.37149,2.52034,0.55986,0.5,0.50924,0.18193,0.42041,0.375,0.39597,0.09876,2.35332,4.1126,0.65106,4.73881,4.50755,0.00125376,0.00125376,0.00125376
17,273.053,1.67977,2.58842,0.57189,1.52301,2.41541,0.55986,0.5,0.50924,0.18193,0.42041,0.375,0.39597,0.09876,2.35332,4.1126,0.65106,4.73881,4.50755,0.00133292,0.00133292,0.00133292
18,288.543,1.72196,2.57366,0.57468,1.57971,2.55355,1,0.125,0.27975,0.03816,0.09055,0.25,0.08943,0.0307,2.567,4.0003,0.68984,12.5822,5.74404,0.00141203,0.00141203,0.00141203
19,303.887,1.85911,3.10094,0.60987,1.76254,2.6629,1,0.125,0.27975,0.03816,0.09055,0.25,0.08943,0.0307,2.567,4.0003,0.68984,12.5822,5.74404,0.00149109,0.00149109,0.00149109
20,319.039,1.60818,2.44791,0.60962,1.61711,2.23403,1,0.125,0.27975,0.03816,0.09055,0.25,0.08943,0.0307,2.567,4.0003,0.68984,12.5822,5.74404,0.00157009,0.00157009,0.00157009
21,334.4,1.67405,2.52076,0.61998,1.49913,2.43452,1,0.125,0.27975,0.03816,0.09055,0.25,0.08943,0.0307,2.567,4.0003,0.68984,12.5822,5.74404,0.00164904,0.00164904,0.00164904
22,350.242,1.85187,2.52187,0.61493,1.5097,2.61636,0.80086,0.625,0.57241,0.32214,0.64069,0.5,0.51599,0.10497,1.64456,3.46445,0.63611,3.75859,3.01265,0.00172794,0.00172794,0.00172794
23,365.53,1.8379,2.36507,0.59665,1.44181,2.56848,0.80086,0.625,0.57241,0.32214,0.64069,0.5,0.51599,0.10497,1.64456,3.46445,0.63611,3.75859,3.01265,0.00180679,0.00180679,0.00180679
24,381.004,1.78547,2.84325,0.62145,1.4931,2.33396,0.80086,0.625,0.57241,0.32214,0.64069,0.5,0.51599,0.10497,1.64456,3.46445,0.63611,3.75859,3.01265,0.00188558,0.00188558,0.00188558
25,396.134,1.89498,2.79789,0.6244,1.415,2.43749,0.80086,0.625,0.57241,0.32214,0.64069,0.5,0.51599,0.10497,1.64456,3.46445,0.63611,3.75859,3.01265,0.00196432,0.00196432,0.00196432
26,411.604,2.06057,2.77638,0.58129,1.80837,2.65733,0.35498,0.375,0.17403,0.0609,0.35498,0.375,0.22498,0.10909,2.66449,3.61779,0.56391,3.16443,3.99082,0.0019835,0.0019835,0.0019835
27,427.04,1.71839,2.93929,0.52596,1.58521,2.40381,0.35498,0.375,0.17403,0.0609,0.35498,0.375,0.22498,0.10909,2.66449,3.61779,0.56391,3.16443,3.99082,0.00198284,0.00198284,0.00198284
28,442.423,1.7557,2.75204,0.51775,1.6292,2.39072,0.35498,0.375,0.17403,0.0609,0.35498,0.375,0.22498,0.10909,2.66449,3.61779,0.56391,3.16443,3.99082,0.00198218,0.00198218,0.00198218
29,457.572,1.81923,2.71465,0.52906,1.59162,2.62538,0.35498,0.375,0.17403,0.0609,0.35498,0.375,0.22498,0.10909,2.66449,3.61779,0.56391,3.16443,3.99082,0.00198152,0.00198152,0.00198152
30,472.902,1.44473,2.36056,0.52649,1.48736,2.16545,0.2298,0.625,0.36553,0.09626,0.15713,0.625,0.15903,0.04308,2.35718,4.02961,0.53703,9.37133,3.77795,0.00198086,0.00198086,0.00198086
31,488.314,1.39856,2.74366,0.56073,1.07,2.24304,0.2298,0.625,0.36553,0.09626,0.15713,0.625,0.15903,0.04308,2.35718,4.02961,0.53703,9.37133,3.77795,0.0019802,0.0019802,0.0019802
32,503.482,1.39175,2.28948,0.54704,1.07443,2.10223,0.2298,0.625,0.36553,0.09626,0.15713,0.625,0.15903,0.04308,2.35718,4.02961,0.53703,9.37133,3.77795,0.00197954,0.00197954,0.00197954
33,518.808,1.66742,2.41199,0.5794,1.27913,2.2324,0.2298,0.625,0.36553,0.09626,0.15713,0.625,0.15903,0.04308,2.35718,4.02961,0.53703,9.37133,3.77795,0.00197888,0.00197888,0.00197888
34,534.17,1.34322,2.37525,0.515,1.10694,2.19958,0.80595,0.625,0.62123,0.17804,0.64476,0.5,0.41947,0.09993,2.4319,3.62608,0.45895,4.32171,5.2806,0.00197822,0.00197822,0.00197822
35,549.742,1.59049,2.50026,0.48414,1.34704,2.30562,0.80595,0.625,0.62123,0.17804,0.64476,0.5,0.41947,0.09993,2.4319,3.62608,0.45895,4.32171,5.2806,0.00197756,0.00197756,0.00197756
36,565.195,1.33525,2.31952,0.48309,1.23219,2.05851,0.80595,0.625,0.62123,0.17804,0.64476,0.5,0.41947,0.09993,2.4319,3.62608,0.45895,4.32171,5.2806,0.0019769,0.0019769,0.0019769
37,580.457,1.08752,2.49104,0.51505,1.13418,1.89019,0.80595,0.625,0.62123,0.17804,0.64476,0.5,0.41947,0.09993,2.4319,3.62608,0.45895,4.32171,5.2806,0.00197624,0.00197624,0.00197624
38,595.96,1.51037,2.44511,0.47805,1.60433,2.23733,0.22593,0.25,0.17933,0.06306,0.22593,0.25,0.24139,0.11938,3.02292,3.94851,0.41082,2.72808,4.29272,0.00197558,0.00197558,0.00197558
39,611.363,1.49894,2.17229,0.45071,1.67084,2.1367,0.22593,0.25,0.17933,0.06306,0.22593,0.25,0.24139,0.11938,3.02292,3.94851,0.41082,2.72808,4.29272,0.00197492,0.00197492,0.00197492
40,626.647,1.56843,2.33438,0.47063,2.02621,2.29382,0.22593,0.25,0.17933,0.06306,0.22593,0.25,0.24139,0.11938,3.02292,3.94851,0.41082,2.72808,4.29272,0.00197426,0.00197426,0.00197426
41,642.096,1.79123,2.58074,0.47495,2.10378,2.54267,0.22593,0.25,0.17933,0.06306,0.22593,0.25,0.24139,0.11938,3.02292,3.94851,0.41082,2.72808,4.29272,0.0019736,0.0019736,0.0019736
42,657.545,1.50775,2.22885,0.44257,1.37696,2.15502,0.42649,0.5,0.44286,0.10962,0.2139,0.5,0.26332,0.08138,2.59601,3.6617,0.3318,5.62431,4.412,0.00197294,0.00197294,0.00197294
43,672.713,1.29019,1.97153,0.40906,1.13511,1.87626,0.42649,0.5,0.44286,0.10962,0.2139,0.5,0.26332,0.08138,2.59601,3.6617,0.3318,5.62431,4.412,0.00197228,0.00197228,0.00197228
44,688.387,1.42198,2.03091,0.41795,1.1626,2.12259,0.42649,0.5,0.44286,0.10962,0.2139,0.5,0.26332,0.08138,2.59601,3.6617,0.3318,5.62431,4.412,0.00197162,0.00197162,0.00197162
45,704.184,1.58656,2.09071,0.45017,1.19699,2.21606,0.42649,0.5,0.44286,0.10962,0.2139,0.5,0.26332,0.08138,2.59601,3.6617,0.3318,5.62431,4.412,0.00197096,0.00197096,0.00197096
46,720.209,1.45078,2.24469,0.40914,1.06333,2.09797,0.27089,0.5,0.2291,0.0994,0.43064,0.5,0.28914,0.08369,2.77962,4.27648,0.34478,4.27896,4.57484,0.0019703,0.0019703,0.0019703
47,736.137,1.35775,2.08242,0.35675,1.03296,2.04833,0.27089,0.5,0.2291,0.0994,0.43064,0.5,0.28914,0.08369,2.77962,4.27648,0.34478,4.27896,4.57484,0.00196964,0.00196964,0.00196964
48,751.938,1.48117,2.02384,0.38858,1.00145,2.23406,0.27089,0.5,0.2291,0.0994,0.43064,0.5,0.28914,0.08369,2.77962,4.27648,0.34478,4.27896,4.57484,0.00196898,0.00196898,0.00196898
49,767.805,1.22807,2.00812,0.3736,1.02318,2.02206,0.27089,0.5,0.2291,0.0994,0.43064,0.5,0.28914,0.08369,2.77962,4.27648,0.34478,4.27896,4.57484,0.00196832,0.00196832,0.00196832
50,783.867,1.37488,2.02856,0.3233,0.95997,2.18689,0.68515,0.875,0.83928,0.32287,0.66891,0.5,0.5904,0.28932,1.86117,2.78462,0.34589,2.23898,2.75517,0.00196766,0.00196766,0.00196766
51,799.711,1.39654,1.97311,0.39074,0.97199,2.1886,0.68515,0.875,0.83928,0.32287,0.66891,0.5,0.5904,0.28932,1.86117,2.78462,0.34589,2.23898,2.75517,0.001967,0.001967,0.001967
52,815.441,1.18004,2.12546,0.38353,0.92307,2.08583,0.68515,0.875,0.83928,0.32287,0.66891,0.5,0.5904,0.28932,1.86117,2.78462,0.34589,2.23898,2.75517,0.00196634,0.00196634,0.00196634
53,831.075,1.17448,2.14757,0.38096,0.87379,2.00731,0.68515,0.875,0.83928,0.32287,0.66891,0.5,0.5904,0.28932,1.86117,2.78462,0.34589,2.23898,2.75517,0.00196568,0.00196568,0.00196568
54,846.565,1.63397,2.19559,0.36911,1.09305,2.32799,0.96995,0.75,0.77134,0.23197,0.96995,0.75,0.77435,0.30098,2.21631,2.76235,0.30144,1.66586,3.6448,0.00196502,0.00196502,0.00196502
55,861.904,1.44605,1.88177,0.37922,0.91582,2.24959,0.96995,0.75,0.77134,0.23197,0.96995,0.75,0.77435,0.30098,2.21631,2.76235,0.30144,1.66586,3.6448,0.00196436,0.00196436,0.00196436
56,877.399,1.29898,1.82424,0.33267,0.84048,2.10969,0.96995,0.75,0.77134,0.23197,0.96995,0.75,0.77435,0.30098,2.21631,2.76235,0.30144,1.66586,3.6448,0.0019637,0.0019637,0.0019637
57,892.794,1.45314,1.78405,0.33114,0.89763,2.22889,0.96995,0.75,0.77134,0.23197,0.96995,0.75,0.77435,0.30098,2.21631,2.76235,0.30144,1.66586,3.6448,0.00196304,0.00196304,0.00196304
58,910.044,1.46416,1.8138,0.33172,0.83883,2.17771,0.89153,0.875,0.92553,0.39118,0.96839,0.625,0.6372,0.26988,1.75204,2.98448,0.28003,1.67743,2.52165,0.00196238,0.00196238,0.00196238
