epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.32525,3.39196,5.29622,0.72564,5.54798,3.28995,0.45293,0.375,0.38717,0.09109,0.14815,0.5,0.16943,0.0287,2.90868,4.42883,0.71498,3.00107,4.182,6e-05,6e-05,6e-05
2,11.4763,2.85005,5.42943,0.71883,3.05461,3.23592,1,0.36837,0.46214,0.08832,0.41625,0.125,0.14998,0.05346,2.68674,4.45038,0.71728,2.62043,4.15899,0.000138614,0.000138614,0.000138614
3,18.7876,2.45968,4.92472,0.72038,2.16568,2.8847,0.80115,0.25,0.39269,0.09507,0.40058,0.125,0.1392,0.03911,2.58743,4.75441,0.71744,2.7878,4.07834,0.000215644,0.000215644,0.000215644
4,25.6181,1.6978,4.30819,0.72388,1.67979,2.18586,1,0.49811,0.63383,0.23063,0.30694,0.25,0.19661,0.0528,2.39561,4.62359,0.71983,2.32262,3.27548,0.00029109,0.00029109,0.00029109
5,32.5098,1.48436,4.06295,0.72836,1.60929,2.14101,0.98088,0.5,0.56058,0.22053,0.48638,0.25,0.18929,0.03585,2.12386,4.56614,0.71468,1.80281,3.14095,0.000364952,0.000364952,0.000364952
6,39.5399,1.32362,3.68203,0.72002,1.44669,1.99382,0.95815,0.5,0.55756,0.24434,0.59324,0.25,0.31512,0.09656,2.20931,4.67573,0.70121,2.13281,3.27608,0.00043723,0.00043723,0.00043723
7,46.5492,1.38266,3.46133,0.69589,1.18516,1.96623,0.95815,0.5,0.55756,0.24434,0.59324,0.25,0.31512,0.09656,2.20931,4.67573,0.70121,2.13281,3.27608,0.000507924,0.000507924,0.000507924
8,53.902,1.21774,3.65683,0.68473,1.26581,1.87163,0.9834,0.625,0.67712,0.27072,0.78672,0.5,0.48487,0.12259,1.78664,4.07623,0.69414,3.44751,2.93264,0.000577034,0.000577034,0.000577034
9,61.0223,1.14116,3.20281,0.7014,1.05085,1.81927,0.94892,0.625,0.66377,0.34273,0.76163,0.5,0.53215,0.12838,1.4599,4.4418,0.6885,2.09444,2.14545,0.00064456,0.00064456,0.00064456
10,68.3218,1.05539,3.2561,0.69635,0.956,1.69084,0.94892,0.625,0.66377,0.34273,0.76163,0.5,0.53215,0.12838,1.4599,4.4418,0.6885,2.09444,2.14545,0.000710502,0.000710502,0.000710502
11,75.7629,1.22456,3.07721,0.67988,0.90195,1.7974,0.92758,0.625,0.71867,0.29448,0.83164,0.5,0.51373,0.09239,1.65541,5.10776,0.67574,1.85066,2.47706,0.00077486,0.00077486,0.00077486
12,82.5879,1.07049,3.03617,0.68267,1.04123,1.77003,0.92758,0.625,0.71867,0.29448,0.83164,0.5,0.51373,0.09239,1.65541,5.10776,0.67574,1.85066,2.47706,0.000837634,0.000837634,0.000837634
13,89.7146,1.04671,3.08395,0.67742,0.81097,1.62772,0.96033,0.625,0.69157,0.37297,0.7676,0.5,0.41148,0.06298,1.29828,4.64691,0.66803,1.65449,2.23752,0.000898824,0.000898824,0.000898824
14,96.328,1.12232,3.01627,0.65337,0.81655,1.74492,0.96033,0.625,0.69157,0.37297,0.7676,0.5,0.41148,0.06298,1.29828,4.64691,0.66803,1.65449,2.23752,0.00095843,0.00095843,0.00095843
15,102.997,0.93022,3.01436,0.64959,0.79215,1.49604,0.95856,0.625,0.77567,0.48854,1,0.73246,0.745,0.12408,1.21838,4.03515,0.66573,0.92109,2.2113,0.00101645,0.00101645,0.00101645
16,109.359,1.08498,2.90446,0.64806,0.72567,1.73294,0.95856,0.625,0.77567,0.48854,1,0.73246,0.745,0.12408,1.21838,4.03515,0.66573,0.92109,2.2113,0.00107289,0.00107289,0.00107289
17,116.145,1.10122,2.81845,0.63946,0.67396,1.80311,0.95856,0.625,0.77567,0.48854,1,0.73246,0.745,0.12408,1.21838,4.03515,0.66573,0.92109,2.2113,0.00112774,0.00112774,0.00112774
18,122.989,1.15187,2.66222,0.64226,0.68046,1.94741,0.91834,0.75,0.815,0.34192,0.4366,0.25,0.1525,0.04288,1.78091,4.24803,0.65301,0.9673,3.02106,0.00118101,0.00118101,0.00118101
19,129.608,0.97916,2.99622,0.65778,0.67422,1.58668,0.91834,0.75,0.815,0.34192,0.4366,0.25,0.1525,0.04288,1.78091,4.24803,0.65301,0.9673,3.02106,0.0012327,0.0012327,0.0012327
20,136,0.8272,2.74197,0.65252,0.6531,1.46376,0.91834,0.75,0.815,0.34192,0.4366,0.25,0.1525,0.04288,1.78091,4.24803,0.65301,0.9673,3.02106,0.0012828,0.0012828,0.0012828
21,142.409,1.0104,2.89741,0.63801,0.67164,1.63326,0.91834,0.75,0.815,0.34192,0.4366,0.25,0.1525,0.04288,1.78091,4.24803,0.65301,0.9673,3.02106,0.00133132,0.00133132,0.00133132
22,149.561,1.02249,2.81161,0.61855,0.70315,1.69679,0.87868,1,0.96722,0.53139,0.94491,0.75,0.82773,0.11382,1.37818,3.78108,0.61689,0.95601,2.11002,0.00137825,0.00137825,0.00137825
23,156.925,1.14336,2.72644,0.60486,0.69739,1.87313,0.87868,1,0.96722,0.53139,0.94491,0.75,0.82773,0.11382,1.37818,3.78108,0.61689,0.95601,2.11002,0.0014236,0.0014236,0.0014236
24,163.558,1.17297,2.77513,0.61415,0.68325,1.81337,0.87868,1,0.96722,0.53139,0.94491,0.75,0.82773,0.11382,1.37818,3.78108,0.61689,0.95601,2.11002,0.00146737,0.00146737,0.00146737
25,170.697,0.9751,2.85341,0.60339,0.67448,1.6231,0.87868,1,0.96722,0.53139,0.94491,0.75,0.82773,0.11382,1.37818,3.78108,0.61689,0.95601,2.11002,0.00150955,0.00150955,0.00150955
26,177.96,1.12769,2.85259,0.60014,0.98969,1.77405,0.96836,0.75,0.81,0.411,0.96836,0.75,0.75305,0.17135,1.50262,3.50689,0.59404,0.63219,2.20672,0.001505,0.001505,0.001505
27,184.609,0.96318,2.76247,0.5952,0.55714,1.52073,0.96836,0.75,0.81,0.411,0.96836,0.75,0.75305,0.17135,1.50262,3.50689,0.59404,0.63219,2.20672,0.0014852,0.0014852,0.0014852
28,191.217,1.22077,2.78584,0.6026,0.64972,1.70293,0.96836,0.75,0.81,0.411,0.96836,0.75,0.75305,0.17135,1.50262,3.50689,0.59404,0.63219,2.20672,0.0014654,0.0014654,0.0014654
