epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2021,0.86062,2.06402,0.52504,0.77971,1.36295,0.89687,0.83333,0.835,0.67333,0.89687,0.83333,0.883,0.70383,0.74363,0.72859,0.03171,0.4822,1.31222,6e-05,6e-05,6e-05
2,27.6228,0.89353,1.78323,0.406,0.65191,1.34613,0.9611,0.83333,0.835,0.67333,0.9611,0.83333,0.87864,0.7238,0.74454,0.72224,0.02921,0.47004,1.31943,0.000138614,0.000138614,0.000138614
3,41.5745,0.77532,1.87245,0.49621,0.51273,1.28018,0.97907,0.83333,0.835,0.67333,0.97907,0.83333,0.88071,0.724,0.74602,0.71706,0.02719,0.46447,1.32388,0.000215644,0.000215644,0.000215644
4,55.3734,0.79348,2.36032,0.45421,0.52954,1.27437,1,0.82093,0.835,0.67333,1,0.82093,0.87864,0.7238,0.7537,0.69959,0.02424,0.44936,1.34051,0.00029109,0.00029109,0.00029109
5,69.2288,0.68194,1.37192,0.32585,0.49224,1.22175,1,0.81244,0.835,0.67333,1,0.81244,0.86929,0.72286,0.76669,0.69324,0.02384,0.44628,1.35335,0.000364952,0.000364952,0.000364952
6,83.0927,0.90156,1.50564,0.35769,0.57726,1.33174,1,0.8113,0.835,0.67333,1,0.8113,0.87192,0.72313,0.77869,0.68529,0.02453,0.45001,1.36695,0.00043723,0.00043723,0.00043723
7,96.7402,0.96915,1.74905,0.36273,0.67344,1.44277,1,0.8113,0.835,0.67333,1,0.8113,0.87192,0.72313,0.77869,0.68529,0.02453,0.45001,1.36695,0.000507924,0.000507924,0.000507924
8,110.592,0.75998,1.77611,0.42084,0.56003,1.25718,1,0.80977,0.835,0.67333,1,0.80977,0.875,0.72343,0.7906,0.6819,0.02483,0.4472,1.38131,0.000577034,0.000577034,0.000577034
9,124.529,0.84669,1.66747,0.32845,0.62553,1.35542,1,0.80983,0.835,0.68812,1,0.80983,0.8734,0.72711,0.81072,0.6809,0.02727,0.45017,1.40044,0.00064456,0.00064456,0.00064456
10,138.541,0.78918,2.24944,0.43203,0.56999,1.32649,1,0.80983,0.835,0.68812,1,0.80983,0.8734,0.72711,0.81072,0.6809,0.02727,0.45017,1.40044,0.000710502,0.000710502,0.000710502
11,152.557,0.70116,1.57362,0.366,0.51588,1.16679,1,0.79977,0.835,0.67333,1,0.79977,0.87674,0.70738,0.82884,0.68394,0.02936,0.45268,1.41718,0.00077486,0.00077486,0.00077486
12,166.378,0.74497,1.87524,0.41276,0.47989,1.2716,1,0.79977,0.835,0.67333,1,0.79977,0.87674,0.70738,0.82884,0.68394,0.02936,0.45268,1.41718,0.000837634,0.000837634,0.000837634
13,180.098,0.82099,1.29506,0.39402,0.59014,1.32971,1,0.80255,0.835,0.67333,1,0.80255,0.875,0.72063,0.8449,0.69526,0.0301,0.46497,1.43699,0.000898824,0.000898824,0.000898824
14,194.084,0.80945,2.20724,0.55188,0.55486,1.30852,1,0.80255,0.835,0.67333,1,0.80255,0.875,0.72063,0.8449,0.69526,0.0301,0.46497,1.43699,0.00095843,0.00095843,0.00095843
15,208.186,0.80736,1.83179,0.32459,0.58533,1.25967,1,0.80239,0.835,0.6705,1,0.80239,0.87192,0.71775,0.86226,0.71669,0.02831,0.45677,1.45499,0.00101645,0.00101645,0.00101645
16,221.883,0.71126,1.326,0.31276,0.46989,1.21156,1,0.80239,0.835,0.6705,1,0.80239,0.87192,0.71775,0.86226,0.71669,0.02831,0.45677,1.45499,0.00107289,0.00107289,0.00107289
17,235.846,0.78633,1.8146,0.3904,0.57374,1.25426,1,0.80239,0.835,0.6705,1,0.80239,0.87192,0.71775,0.86226,0.71669,0.02831,0.45677,1.45499,0.00112774,0.00112774,0.00112774
18,250.01,0.83171,1.56725,0.27251,0.58739,1.3223,1,0.79953,0.835,0.65642,1,0.79953,0.8681,0.7029,0.87202,0.73606,0.02807,0.45141,1.46503,0.00118101,0.00118101,0.00118101
19,263.962,0.74445,1.42321,0.32062,0.50744,1.26809,1,0.79953,0.835,0.65642,1,0.79953,0.8681,0.7029,0.87202,0.73606,0.02807,0.45141,1.46503,0.0012327,0.0012327,0.0012327
20,277.947,0.68149,0.91716,0.27688,0.49516,1.1984,1,0.79953,0.835,0.65642,1,0.79953,0.8681,0.7029,0.87202,0.73606,0.02807,0.45141,1.46503,0.0012828,0.0012828,0.0012828
21,291.94,0.71192,1.55663,0.32013,0.52492,1.2571,1,0.79953,0.835,0.65642,1,0.79953,0.8681,0.7029,0.87202,0.73606,0.02807,0.45141,1.46503,0.00133132,0.00133132,0.00133132
22,306.044,0.77263,1.45663,0.41104,0.55893,1.29144,0.99084,0.83333,0.835,0.64595,0.99084,0.83333,0.86243,0.70404,0.87768,0.7622,0.02867,0.44667,1.47196,0.00137825,0.00137825,0.00137825
23,319.763,0.74166,1.1052,0.27202,0.46158,1.25139,0.99084,0.83333,0.835,0.64595,0.99084,0.83333,0.86243,0.70404,0.87768,0.7622,0.02867,0.44667,1.47196,0.0014236,0.0014236,0.0014236
24,333.657,0.70932,1.29014,0.41339,0.52757,1.24094,0.99084,0.83333,0.835,0.64595,0.99084,0.83333,0.86243,0.70404,0.87768,0.7622,0.02867,0.44667,1.47196,0.00146737,0.00146737,0.00146737
25,347.268,0.80668,1.46855,0.35214,0.55357,1.26769,0.99084,0.83333,0.835,0.64595,0.99084,0.83333,0.86243,0.70404,0.87768,0.7622,0.02867,0.44667,1.47196,0.00150955,0.00150955,0.00150955
